Ontology ID	Entity type	LABEL	Parent	alternative term	definition	definition source	term editor	term tracker item	ontology term requester	editor note	database_cross_reference
OPL:0000040	class	Homo sapiens hepatocyte	hepatocyte	human hepatocyte	A hepatocyte that is a part of or originated from a human (Homo sapiens).		Priti Parikh				FMA:14515
OPL:0000041	class	Schistosoma mansoni sporocyst stage	sporocyst stage	S. mansoni sporocyst stage	A sporocyst stage in the Schistosoma mansoni lifecycle that occurs in the snail intermediate host.		Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng				
OPL:0000042	class	Plasmodium falciparum erythrocytic ring trophozoite stage	erythrocytic ring trophozoite stage	P. falciparum erythrocytic ring trophozoite stage	"An erythrocytic ring trophozoite stage in the Plasmodium falciparum life cycle that occurs in erythrocytes of a human host. During this stage some Plasmodium falciparum merozoites undergo asexual reproduction cycle in erythrocytes and form young trophozoites that are referred to as ""ring form"" due to their morphology."	Wikipedia: Plasmodium falciparum biology	Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000043	class	Schistosoma japonicum cercaria	Schistosoma japonicum	S. japonicum cercaria	A Schistosoma japonicum in a parasitic larval form that develops in a freshwater snail and is released into the water.		Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng				
OPL:0000044	class	procyclic promastigote stage	promastigote stage		"A promastigote stage where the form of parasite is short, ovoid, and slightly motile."	PMID:13129524	Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000045	class	Schistosoma mansoni 6 day schistosomulum stage	6 day schistosomulum stage	S. mansoni 6 day schistosomulum stage	A 6 day schistosomulum stage of Schistosoma mansoni that occurs in the definitive host 6 days post-infection.		Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng				
OPL:0000046	class	Schistosoma japonicum 6 day schistosomulum stage	Schistosoma japonicum schistosomulum stage	S. japonicum 6 day schistosomulum stage	A schistosoma japonicum schistosomulum stage that occurs in the definitive host 6 days post-infection.		Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng				
OPL:0000047	class	Homo sapiens mesenteric vein	mesenteric vein	human mesenteric vein	A mesenteric vein that is a part of or originated from a human (Homo sapiens).		Priti Parikh				
OPL:0000048	class	Trypanosoma brucei lifecycle stage	parasite lifecycle stage	T. brucei lifecycle stage	A lifecycle stage of Trypanosoma brucei.		Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000049	class	Trypanosoma cruzi epimastigote	Trypanosoma cruzi	T. cruzi epimastigote	"A Trypanosoma cruzi that is found in the intestinal tract of the insect vector. In this form, the kinetoplast is found anterior and adjacent to the nucleus. The flagellum emerges in the middle of the cell."	http://dna.kdna.ucla.edu/parasite_course-old/cruzi_files/intro.htm	Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000050	class	Plasmodium falciparum microgametocyte	Plasmodium falciparum gametocyte	P. falciparum microgametocyte	A Plasmodium falciparum gametocyte that is a male gametocyte and found in either bloodstream of a human host or midgut of a mosquito vector. The microgametocyte is a precursor cell of the microgamete.		Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000051	class	Schistosoma japonicum 7 week worm	Schistosoma japonicum worm	S. japonicum 7 week worm	"A Schistosoma japonicum worm is the mature form of Schistosoma japonicum and capable of sexual reproduction, which is found in the small superior mesenteric blood vessels associated with the ileo-caecal area of the intestine of the human host 7 weeks after infection of the mammal host."		Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000052	class	Schistosoma japonicum egg	Schistosoma japonicum	S. japonicum egg	A Schistosoma japonicum in an egg form that is laid by the female adult worm and released into the host gut where they leave the host in the faeces.		Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng				
OPL:0000053	class	Schistosoma japonicum 3 week worm	Schistosoma japonicum worm	S. japonicum 3 week worm	"A Schistosoma japonicum worm is capable of sexual reproduction, which is found in the small superior mesenteric blood vessels associated with the ileo-caecal area of the intestine of the mammal host 3 weeks after infection of the human host."		Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000056	class	Trypanosoma brucei metacyclic trypomastigote stage	metacyclic trypomastigote stage	T. brucei metacyclic trypomastigote stage	A metacyclic trypomastigote stage in the lifecycle of Trypanosoma brucei that occurs either in vertebrate host bloodstream or in salivary glands of an insect vector.		Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000057	class	trophozoite stage	parasite lifecycle stage		"A parasite lifecycle stage of some protozoan parasites that is a non-reproductive, feeding and growing stage."	http://www.biology.ualberta.ca/parasites/parpub/text/text/glossarT.htm	Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000058	class	Leishmania major procyclic promastigote stage	procyclic promastigote stage	L. major procyclic promastigote stage	A procyclic promastigote stage in the Leishmania major lifecycle.		Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000059	class	hepatic schizont stage	schizont stage		A schizont stage that occurs in hepatocyte where sporozoites mature into a schizont.	PMID:11006474	Chris Stoeckert|Jie Zheng|Matt Berriman|Priti Parikh				
OPL:0000060	class	Plasmodium falciparum schizont	Plasmodium falciparum	P. falciparum schizont	"A Plasmodium falciparum divides through schizogony. Depending on its location, it is either called hepatic or erythrocytic schizont. The schizont is a dividing stage with 2 or more nuclei."		C. Janse|Chris Stoeckert|Jie Zheng|Priti Parkh|S. Khan				
OPL:0000061	class	Trypanosoma cruzi amastigote	Trypanosoma cruzi	T. cruzi amastigote	A Trypanosoma cruzi that is the intracellular dividing form in the cytoplasm of mammalian cells. It is a round/oval-shaped cell with no protruding flagellum.	http://dna.kdna.ucla.edu/parasite_course-old/cruzi_files/intro.htm	Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000062	class	Schistosoma haematobium 3 day schistosomulum stage	3 day schistosomulum stage	S. haematobium 3 day schistosomulum stage	A 3 days schistosomulum stage of Schistosoma haematobium occurs in the definitive host 3 days post-infection.		Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000063	class	Schistosoma mansoni 24 hour schistosomulum stage	24 hour schistosomulum stage	S. mansoni 24 hour schistosomulum stage	A 24 hours schistosomulum stage of Schistosoma mansoni that occurs in the definitive host 24 hours post-infection.		Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000064	class	Trypanosoma cruzi amastigote stage	amastigote stage	T. cruzi amastigote stage	An amastigote stage in the lifecycle of Trypanosoma cruzi that occurs in mammalian hosts.		Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000066	class	6 day schistosomulum stage	schistomulum stage		A schistosomulum stage that occurs in 6 days after infection of the mammalian host.	PMID:19885392	Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000067	class	Schistosoma mansoni 3 hour schistosomulum	Schistosoma mansoni schistosomulum	S. mansoni 3hour schistosomulum	"A Schistosoma mansoni schistosomulum in a migratory larval formi that is found within blood vessels of the definitive host, mammal, 3 hours post-infection."		Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng				
OPL:0000068	class	Plasmodium falciparum macrogametocyte stage	macrogametocyte stage	P. falciparum macrogametocyte stage	A macrogametocyte stage in the Plasmodium falciparum lifecycle that occurs either in the bloodstream of a human host or the midgut of a mosquito vector.		C. Janse|Chris Stoeckert|Jie Zheng|Priti Parikh|S. Khan			gametocytes are mainly found in the blood	
OPL:0000069	class	Schistosoma haematobium miracidium stage	miracidium stage	S. haematobium miracidium stage	A miracidium stage in the Schistosoma haematobium lifecycle that occurs in the intermediate snail host.		Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng				
OPL:0000070	class	cercaria stage	parasite lifecycle stage		"A parasite lifecycle stage that is a free-living larval stage of Digenea, developed within the germinal cells of the sporocyst or redia. A cercaria has a tapering head with large penetration glands. It may or may not have a long swimming ""tail"", depending on the species. The motile cercaria finds and settles in a host where it will become either an adult, or a mesocercaria, or a metacercaria, according to species."	Wikipedia: Trematode lifecycle stages	Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000071	class	Schistosoma japonicum worm stage	parasitic worm stage	S. japonicum worm stage	A worm stage of Schistosoma japonicum that is fully developed mature form and found in the small superior mesenteric blood vessels associated with the ileo-caecal area of the intestine of the mammalian host.		Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng				
OPL:0000072	class	Schistosoma japonicum egg stage	egg stage	S. japonicum egg stage	An egg stage in the lifecycle of Schistosoma japonicum that occurs in the mammalian host.		Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng				
OPL:0000073	class	oocyst stage	parasite lifecycle stage		A parasite lifecycle stage of sporozoa consisting of a zygote enclosed by cyst wall.	"Mosby's Medical Dictionary, 8th edition. � 2009, Elsevier. (http://medical-dictionary.thefreedictionary.com/oocyst)"	Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000074	class	Schistosoma haematobium 3 hour schistosomulum stage	3 hour schistosomulum stage	S. haematobium 3 hour schistosomulum stage	A 3 hours schistosomulum stage of Schistosoma haematobium that occurs in the definitive host 3 hours post-infection.		Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng				
OPL:0000075	class	Plasmodium falciparum macrogamete stage	macrogamete stage	P. falciparum macrogamete stage	A macrogamete stage in the Plasmodium falciparum lifecycle that occurs in the midgut of a mosquito vector.		Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000076	class	procyclic trypomastigote stage	trypomastigote stage		A trypomastigote stage where trypomastigote form of parasites are in dividing form. This stage occurs in fly vector.		Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000077	class	Schistosoma japonicum schistosomulum	Schistosoma japonicum	S. japonicum schistosomulum	A Schistosoma japonicum in a migratory larval form that is found within blood vessels of the definitive host and develops into the worm.		Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng				
OPL:0000078	class	erythrocytic schizont stage	schizont stage		A schizont stage that occurs in erythrocytes where trophozoites mature into a schizont and schizont produces daughter trophozoites or merozoites.	PMID: 11006474	Chris Stoeckert|Jie Zheng|Matt Berriman|Priti Parikh				
OPL:0000079	class	Schistosoma haematobium cercaria	Schistosoma haematobium	S. haematobium cercaria	A Schistosoma haematobium is the parasitic larval form of the Schistosoma haematobium that develops in a freshwater snail and is released into the water.		Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng				
OPL:0000080	class	parasite lifecycle in host liver stage	parasite lifecycle stage	liver stage	"A parasite lifecycle stage that occurs in the liver of the host organism. For Plasmodium species these stages can include sporozoites, trophozoites, schizonts, and merozoites."	EuPathDB	Chris Stoeckert				
OPL:0000081	class	Trypanosoma brucei procyclic trypomastigote stage	procyclic promastigote stage		A procyclic promastigote stage in the Trypanosoma brucei lifecycle.		Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000082	class	parasitic worm stage	parasite lifecycle stage		"A parasite lifecycle stage of some parasites in which the parasite develops into a worm form, and undergoes maturation."	http://www.path.cam.ac.uk/~schisto/schistosoma/schisto_lifecycle_egg.html	Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000083	class	Bulinus hepatopancreas	hepatopancreas		Hepatopancreas that is a part of or originated from a Bulinus snail.		Priti Parikh				
OPL:0000084	class	schizont stage	parasite lifecycle stage		A parasite lifecycle stage that is the multinucleate stage in the development of some members of the Sarcodina and some sporozoans during schizogony.	http://medical-dictionary.thefreedictionary.com/schizont	Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000085	class	macrogamete stage	gamete stage		A gamete stage in parasites when macrogametocytes produce macrogametes through the process known as gametogenesis.	http://www.tulane.edu/~wiser/malaria/mal_lc.PDF	Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000086	class	daughter sporocyst stage	sporocyst stage		A sporocyst stage of Trematodes produced by a mother sporocyst; it lacks a gut and is capable of asexual production of either rediae or cercariae.	http://www.biology.ualberta.ca/parasites/parpub/text/text/glossarD.htm	Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000087	class	Schistosoma haematobium 7 week worm	Schistosoma haematobium worm	S. haematobium 7 week worm	"A Schistosoma haematobium worm is the mature form of Schistosoma haematobium and capable of sexual reproduction, which is found in the pelvic blood vessels of the vesicle plexis of the mammal host 7 weeks after infection of the mammal host."		Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng				
OPL:0000088	class	Triatominae midgut	midgut		A midgut that is a part of or originated from a Triatominae bug.		Priti Parikh				
OPL:0000089	class	Plasmodium falciparum ookinete	Plasmodium falciparum	P. falciparum ookinete	A Plasmodium falciparum that is a 'banana-shaped' form and originates from the round zygote. The ookinete is found in the midgut of a mosquito vector and traverses the midgut wall of a mosquito vector.	Wikipedia: Plasmodium falciparum biology	Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000090	class	Schistosoma mansoni 3 week worm	Schistosoma mansoni worm	S. mansoni 3 week worm	"A Schistosoma mansoni worm that is capable of sexual reproduction, which is found in the small inferior mesenteric blood vessels surrounding the large intestine of the mammal host 3 weeks after infection of the mammalian host."		Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng				
OPL:0000091	class	Schistosoma haematobium worm stage	parasitic worm stage	S. haematobium worm stage	A worm stage of Schistosoma haematobium that is fully developed mature form and found in the pelvic blood vessels of the vesicle plexis of the mammalian host.		Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng				
OPL:0000092	class	Trypanosoma brucei epimastigote	Trypanosoma brucei	T. brucei epimastigote	A Trypanosoma brucei that is found in the salivary glands of tse-tse fly. In this form the kinetoplast is anterior to the nucleus with a short undulating membrane running about half the length of the body.	http://dna.kdna.ucla.edu/parasite_course-old/african%20tryps%20new_files/contents1.htm	Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000093	class	Plasmodium falciparum hepatic schizont stage	hepatic schizont stage	P. falciparum hepatic schizont stage	A hepatic schizont stage in the lifecycle of Plasmodium falciparum that occurs in the infected hepatocytes of a human host.		Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000094	class	Schistosoma japonicum sporocyst	Schistosoma japonicum	S. japonicum sporocyst	"A Schistosoma japonicum is an elongated sac that develops from the miracidium within the snail indermediate host, and that either produces more sporocysts or develops into cercariae."		Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng				
OPL:0000095	class	schistomulum stage	parasite lifecycle stage		A parasite lifecycle stage that is the migratory stage between cercaria and adult of the schistosomes; equivalent to the metacercarial stage in other digeneans.	http://www.biology.ualberta.ca/parasites/parpub/text/text/glossarS.htm	Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000096	class	Homo sapiens erythrocyte	erythrocyte	human RBC|human erythrocyte|human red blood cell	An erythrocyte that is a part of or originated from a human (Homo sapiens).		Priti Parikh				FMA:62845
OPL:0000097	class	Homo sapiens vesical venus plexus	vesical venus plexus	human vesical venus plexus	Vesical venus plexus that is a part of or originated from a human (Homo sapiens).		Priti Parikh				FMA:18934
OPL:0000098	class	sporocyst stage	parasite lifecycle stage		A parasite lifecycle stage that is the early developmental stage capable of asexual reproduction: in sporozoans it is usually enclosed within an oocyst; in digeneans it is an intramolluscan stage lacking a gut.	http://www.biology.ualberta.ca/parasites/parpub/text/text/glossarD.htm	Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000099	class	Schistosoma haematobium 3 week worm	Schistosoma haematobium worm	S. haematobium 3 week worm	"A Schistosoma haematobium worm is the mature form of Schistosoma haematobium and capable of sexual reproduction, which is found in the pelvic blood vessels of the vesicle plexis of the human host 3 weeks after infection of the mammal host."		Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng				
OPL:0000100	class	Schistosoma mansoni schistosomulum stage	schistomulum stage	S. mansoni schistosomulum stage	A schistosomulum stage of Schistosoma mansoni that occurs in the definitive host and is followed by the parasitic worm stage.		Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng				
OPL:0000101	class	Schistosoma haematobium cercaria stage	cercaria stage	S. haematobium cercaria stage	A cercaria stage in the lifecycle of Schistosoma haematobium that occurs in a freshwater snail and in fresh water.		Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng				
OPL:0000102	class	Leishmania major metacyclic promastigote stage	metacyclic promastigote stage	L. major metacyclic promastigote stage	A metacyclic promastigote stage in the lifecycle of Leishmania major.		Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000103	class	Plasmodium falciparum merozoite stage	merozoite stage	P. falciparum merozoite stage	A merozoite stage in the Plasmodium falciparum lifecycle that occurs in the bloodstream or hepatocytes of a human host.		Chris Stoeckert|Priti Parikh				
OPL:0000104	class	Biomphalaria hepatopancreas	hepatopancreas		Hepatopancreas that is a part of or originated from a Biomphalaria snail.		Priti Parikh				
OPL:0000105	class	Schistosoma mansoni egg	Leishmania major promastigote	S. mansoni egg	A Schistosoma mansoni in an egg form that is laid by the female adult worm and released into the host gut where they leave the host in the faeces.		Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng				
OPL:0000106	class	Schistosoma japonicum 3 week worm stage	3 week parasitic worm stage	S. japonicum 3 week worm stage	A worm stage of Schistosoma japonicum that is found in the small superior mesenteric blood vessels associated with the ileo-caecal area of the intestine of the definitive host 3 weeks after infection.		Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000107	class	Schistosoma mansoni 3 week worm stage	3 week parasitic worm stage	S. mansoni 3 week worm stage	A worm stage of Schistosoma mansoni that is found in the small inferior mesenteric blood vessels surrounding the large intestine of the definitive host 3 weeks after infection.		Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000108	class	epimastigote stage	parasite lifecycle stage		"A parasite lifecycle stage of Trypanosomatids. During this stage, the undulating membrane is shortened and the flagellar pocket and the kinetoplast are anterior to the nucleus. This stage occurs in the insect host."		Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000109	class	Schistosoma haematobium daughter sporocyst	Leishmania major promastigote	S. haematobium daughter sporocyst	A Schistosoma haematobium sporocyst that develops into cercariae.		Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng				
OPL:0000110	class	Plasmodium falciparum erythrocytic schizont	Leishmania major promastigote	P. falciparum erythrocytic schizont	A Plasmodium falciparum schizont that is found in infected erythrocytes of a human host.		C. Janse|Chris Stoeckert|Jie Zheng|Priti Parkh|S. Khan				
